Charles D. Johnson, CAR WR
Charles Johnson, CAR DE

Chris Jones, DAL P
Chris Jones, KC RE
Chris Jones, SF DT (Not in Madden, so often mistaken!)
Christian Jones, CHI MLB

Brandon Williams, ARI CB
Brandon Williams, IND TE

Chris Thompson, WAS HB
Chris Thompson, HOU WR

Brandon Marshall, NYG WR
Brandon Marshall, DEN MLB

Michael Thomas, NO WR
Michael Thomas, MIA SS
Mike Thomas, LAR WR

Joe Thomas, CLE LT
Joe Thomas, GB MLB

Mike Davis, SEA HB
Michael Davis, LAC CB

Malcolm Brown, NE DT
Malcolm Brown, LAR HB

