Team,First Name,Last Name,Position,Awareness,Speed,Acceleration,Agility,Strength,Elusiveness,Carrying,Trucking,Catching,Jumping,Throw Power,Throw Accuracy Short,Throw Accuracy Mid,Throw Accuracy Deep,Throw on the Run,Throw Accuracy,Pass Block,Run Block,Pass Block Strength,Pass Block Footwork,Run Block Strength,Run Block Footwork,Tackle,Kick Power,Kick Accuracy,Kick Return,Stamina,Injury,Toughness
49ers,Daniel,Kilgore,C,76,60,79,57,89,,40,10,17,37,33,6,6,6,,,77,74,,,,,22,19,17,10,75,88,96
49ers,Marcus,Martin,C,74,64,77,66,82,,45,20,45,72,30,6,6,6,,,72,67,,,,,34,25,25,10,79,83,89
49ers,Kenneth,Acker,CB,80,88,89,92,50,,67,30,62,87,20,10,10,10,,,45,45,,,,,46,22,17,67,89,91,56
49ers,Tramaine,Brock,CB,83,88,92,87,59,,55,10,67,88,21,6,6,6,,,45,45,,,,,55,29,21,50,90,93,70
49ers,Marcus,Cromartie,CB,56,90,89,84,54,,60,30,56,83,29,6,6,6,,,45,45,,,,,52,14,17,60,87,90,75
49ers,Prince,Iworah,CB,50,93,92,81,79,,61,25,67,91,22,6,6,6,,,31,28,,,,,53,18,22,50,91,91,83
49ers,Dontae,Johnson,CB,74,89,91,91,53,,61,33,60,89,25,6,6,6,,,45,45,,,,,56,18,19,55,90,92,75
49ers,Keith,Reaser,CB,56,90,88,85,65,,64,29,53,88,35,6,6,6,,,45,45,,,,,52,20,20,45,86,76,68
49ers,Will,Redmond,CB,57,91,91,90,51,,57,25,58,88,27,10,10,10,,,43,44,,,,,43,18,17,56,90,87,73
49ers,Rashard,Robinson,CB,53,92,89,86,61,,55,27,51,89,27,6,6,6,,,32,24,,,,,43,18,17,56,92,90,86
49ers,Jimmie,Ward,CB,68,89,90,88,51,,65,61,68,89,28,6,6,6,,,45,45,,,,,70,23,19,35,90,95,83
49ers,Mike,Purcell,DT,60,65,78,61,79,,52,53,38,79,38,26,22,19,,,45,45,,,,,78,18,20,10,81,87,87
49ers,Ian,Williams,DT,83,65,79,63,93,,40,10,32,60,19,6,7,6,,,45,45,,,,,86,23,25,10,73,83,69
49ers,Bruce,Miller,FB,77,80,86,72,78,,73,66,65,68,25,6,6,6,,,71,71,,,,,73,20,20,10,93,93,88
49ers,L.J.,McCray II,FS,48,88,92,89,73,,65,56,62,93,30,15,10,10,,,45,45,,,,,66,25,25,35,85,88,75
49ers,Eric,Reid,FS,67,88,92,85,63,,64,64,72,94,25,15,10,10,,,45,45,,,,,62,20,21,60,89,90,78
49ers,Mike,Davis,HB,55,88,92,79,69,,82,82,71,84,25,30,25,15,,,55,45,,,,,29,21,20,40,80,77,80
49ers,Shaun,Draughn,HB,78,82,84,85,72,,83,80,68,74,30,35,30,20,,,42,49,,,,,35,25,25,72,87,87,79
49ers,DuJuan,Harris,HB,59,88,94,92,60,,78,60,56,75,40,35,30,20,,,26,28,,,,,34,20,22,74,88,85,82
49ers,Carlos,Hyde,HB,83,86,87,84,78,,86,90,67,84,35,35,30,20,,,57,64,,,,,25,25,25,70,87,92,90
49ers,Kelvin,Taylor,HB,57,87,89,86,69,,88,61,55,87,23,19,15,13,,,50,25,,,,,35,21,20,62,86,90,86
49ers,Phil,Dawson,K,65,55,60,52,20,,40,10,19,37,26,35,30,25,,,22,23,,,,,20,92,89,10,83,85,60
49ers,Arik,Armstead,LE,72,69,81,75,85,,46,44,45,83,35,6,6,6,,,45,45,,,,,85,30,30,10,73,87,65
