team,first_name,last_name,position,awareness,speed,acceleration,agility,strength,elusiveness,carrying,trucking,catching,jumping,throw_power,throw_accuracy_short,throw_accuracy_mid,throw_accuracy_deep,throw_on_the_run,throw_accuracy,pass_block,run_block,pass_block_power,pass_block_finesse,run_block_power,run_block_finesse,tackle,kick_power,kick_accuracy,kick_return,stamina,injury,toughness,handedness,jersey_number,height,weight,age,birthdate,years_pro,college,draft_round,draft_pick,contract_length,contract_years_left,total_salary,signing_bonus,role_one,role_two,pro_bowl,nfl_icon,hair_style,hair_color,skin_color,tattoo_left,tattoo_right,tendency,face_id,sleeves,left_hand,right_hand,left_wrist,right_wrist,left_elbow,right_elbow,left_knee,right_knee,left_shoe,right_shoe,neck_pad,mouthpiece,breathing_strip,eye_black,helmet,face_mask,visor
49ers,Tim,Barnes,C,81,65,76,64,84,15,32,20,30,64,22,6,6,6,6,25,75,73,76,80,70,74,40,20,20,10,77,90,90,Right,61,76,306,29,5/14/1988,7,Missouri,15,63,1,1,775000,0,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Daniel,Kilgore,C,81,61,80,57,89,18,40,10,17,37,33,6,6,6,6,25,72,74,85,69,91,85,22,19,17,10,75,87,96,Right,67,75,308,30,12/18/1987,7,Appalachian State,5,35,4,1,5400000,1995000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Leon,Hall,CB,67,87,92,82,69,40,60,25,64,85,27,6,6,6,6,24,45,45,45,45,45,45,67,10,11,62,96,87,85,Right,20,71,195,33,12/9/1984,11,Michigan,1,18,1,1,1000000,0,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Pr. Charles,Iworah,CB,49,93,92,81,73,64,61,25,67,91,22,6,6,6,6,21,31,28,45,45,45,45,53,18,22,50,91,91,83,Right,30,71,193,24,3/11/1993,2,Western Kentucky,7,57,1,1,630000,0,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Asa,Jackson,CB,61,88,91,93,62,74,72,31,64,85,36,6,6,6,6,36,45,45,45,45,45,45,49,15,11,79,90,84,65,Right,30,70,183,28,12/2/1989,6,Cal Poly-S.L.O.,5,41,1,1,775000,0,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Dontae,Johnson,CB,62,91,92,91,58,66,61,33,60,89,25,6,6,6,6,21,45,45,45,45,45,45,56,18,19,55,90,92,75,Right,36,74,200,26,12/1/1991,4,North Carolina State,4,33,4,1,2620544,400544,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Greg,Mabin,CB,54,88,91,84,71,64,61,61,63,80,27,6,6,6,6,23,35,35,40,40,40,40,70,18,17,63,84,77,89,Right,26,74,198,23,6/25/1994,1,Iowa,15,63,2,2,1020000,0,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,K'Waun,Williams,CB,70,88,92,92,48,72,60,25,65,88,36,6,6,6,6,36,45,45,45,45,45,45,57,26,26,45,92,91,74,Right,24,69,183,26,7/12/1991,4,Pittsburgh,15,63,4,4,8850000,3615000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Ahkello,Witherspoon,CB,63,91,92,91,56,53,59,25,64,94,35,6,6,6,6,35,45,45,45,45,45,45,48,20,20,55,91,88,68,Right,23,75,193,22,3/21/1995,1,Colorado,3,2,4,4,3884665,973572,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Sheldon,Day,DT,60,70,84,83,80,18,37,32,34,77,23,6,6,6,6,21,26,33,44,45,46,45,83,17,17,9,82,89,88,Right,96,73,294,23,7/1/1994,2,Notre Dame,4,7,4,3,2948412,608412,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
