first_name,last_name,team,position,hair_style,hair_color,skin_color,pro_bowl,nfl_icon,tattoo_left,tattoo_right,tendency,face_id,sleeves,left_hand,right_hand,left_wrist,right_wrist,left_elbow,right_elbow,left_knee,right_knee,left_shoe,right_shoe,neck_pad,mouthpiece,breathing_strip,eye_black,helmet,face_mask,visor,awareness,speed,acceleration,agility,strength,elusiveness,carrying,trucking,catching,jumping,throw_power,throw_accuracy_short,throw_accuracy_mid,throw_accuracy_deep,throw_on_the_run,playaction,pass_block,run_block,tackle,kick_power,kick_accuracy,kick_return,stamina,injury,run_block_power,run_block_finesse,pass_block_power,pass_block_finesse,break_tackle,toughness,handedness,jersey_number,height,weight,age,birthdate,years_pro,college,draft_round,draft_pick,contract_length,contract_years_left,total_salary,signing_bonus,role_one,role_two
Dillon,Day,49ers,C,7,2,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,62,64,82,56,80,12,19,24,23,66,30,6,6,6,6,21,75,72,28,25,25,10,82,93,75,70,76,76,-1,93,Right,55,76,298,27,10/17/1991,4,Mississippi State,15,63,1,1,570000,0,45,45
Weston,Richburg,49ers,C,7,2,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,84,68,76,66,89,12,22,20,30,75,30,6,6,6,6,6,72,72,35,25,21,10,88,92,68,73,73,70,7,87,Right,58,76,293,28,7/9/1991,5,Colorado State,2,11,5,4,47500000,16500000,45,45
Wesley,Johnson,49ers,C,11,2,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,2,2,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,75,69,83,63,83,10,33,20,45,78,30,6,6,6,6,30,76,73,35,25,25,10,85,94,77,87,72,75,-1,88,Right,61,77,301,28,1/9/1991,5,Vanderbilt,5,45,1,1,805000,0,45,45
Jimmie,Ward,49ers,CB,5,0,2,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,76,90,91,87,54,49,65,61,69,89,28,6,6,6,6,6,35,35,70,23,19,35,90,76,35,35,35,35,34,83,Right,20,71,194,28,7/18/1991,5,Northern Illinois,1,30,1,1,4500000,3000000,45,45
Quinten,Rollins,49ers,CB,2,0,2,0,0,5,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,71,87,88,89,69,72,68,35,77,87,45,6,6,6,6,47,45,45,69,18,18,45,90,92,45,45,45,45,-1,84,Right,23,71,195,27,7/15/1992,4,Miami (Ohio),2,30,1,1,805000,0,45,45
Ahkello,Witherspoon,49ers,CB,10,0,2,0,0,0,0,-1,-1,0,3,3,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,1,72,91,92,88,56,53,59,25,64,94,35,6,6,6,6,6,35,35,49,20,20,55,91,88,35,35,35,35,44,68,Right,23,75,195,24,3/21/1995,2,Colorado,3,2,4,2,3884665,973572,45,45
K'Waun,Williams,49ers,CB,4,1,2,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,2,74,88,91,90,48,72,61,25,67,88,36,6,6,6,6,6,35,35,56,26,26,45,92,91,35,35,35,35,62,74,Right,24,69,184,28,7/12/1991,5,Pittsburgh,15,63,4,2,8850000,3615000,45,45
Richard,Sherman,49ers,CB,10,0,2,0,1,0,0,-1,-1,-1,4,4,0,0,0,0,-1,-1,-1,-1,0,1,0,0,-1,-1,0,99,88,89,95,79,74,66,51,81,98,12,6,6,6,6,6,35,35,66,12,10,51,99,96,35,35,35,35,64,94,Right,25,75,200,31,3/30/1988,8,Stanford,5,26,3,2,27150000,3000000,45,45
Greg,Mabin,49ers,CB,4,0,2,0,0,0,7,-1,-1,-1,3,3,-1,0,0,-1,-1,-1,-1,-1,0,3,-1,-1,-1,-1,-1,61,88,90,84,71,64,61,61,63,80,27,6,6,6,6,6,25,25,69,18,17,63,84,77,33,34,33,34,54,82,Right,30,74,198,25,6/25/1994,2,Iowa,15,63,1,1,645000,0,45,45
Jason,Verrett,49ers,CB,10,0,2,0,0,0,0,-1,-1,2,4,4,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,1,85,91,92,92,63,79,59,23,77,92,22,6,6,6,6,6,35,35,55,30,25,66,95,71,35,35,35,35,69,83,Right,34,70,188,28,6/18/1991,5,Texas Christian,1,25,1,1,3000000,1000000,45,45
