PRL2,PLHA,TLHA,PRHA,TRHA,PTHA,PFNA,PLNA,PTSA,PVSB,PCON,TotPerYearAvg,NoBonPerYrAvg,PKAC,PACC,PMPC,PHED,PGID,TGID,POID,PSPD,PAGE,PBRE,PEYE,PTGH,PCPH,PLSH,PRSH,PCTH,PLTH,PRTH,PAGI,PSKI,PDPI,PPTI,PINJ,PTAK,PPBK,PRBK,PNEK,PFMK,PBTK,PTAL,PHCL,PUCL,PLEL,TLEL,PREL,TREL,PCOL,PROL,PLPL,PGSL,PTSL,PHLM,PSTM,PHAN,PICN,PJEN,PTEN,PSBO,PVCO,PEGO,PFHO,PDRO,PTHP,PIMP,PJMP,PYRP,PSXP,PCAR,PTAR,PJER,PMOR,PKPR,PSTR,POVR,PAWR,PLWR,TLWR,PRWR,TRWR,PFAS,PMAS,PSBS,PFCS,PMCS,PFGS,PCHS,PFHS,PMHS,PVIS,PPOS,POPS,PLSS,PFTS,PMTS,PUTS,PVTS,PMUS,PHGT,PWGT,PCMT,PKRT,PYWT,PLHY,PJTY,PSTY,PFEx
45,3,3,3,3,16,Michael,Roos,80,80,2,40,0,11,74,0,0,26667,30,26667,58,31,0,0,96,0,0,0,17,0,0,62,0,9,1015,94,20,93,94,0,3,18,0,2,0,0,0,0,0,59,45,100,0,0,0,0,0,0,71,2,80,2,72,0,2,12,99,52,9,1255,18,0,0,91,13,92,93,89,2,0,2,0,10,10,24,5,10,5,15,10,15,0,5,5,15,10,20,15,80,0,79,160,999,8,2,-31,0,0,7
45,2,2,2,2,11,Devery,Henderson,260,256,4,65,1,10,95,0,5,17322,27,17322,96,31,0,0,85,0,0,0,78,0,0,89,2,18,1015,80,20,21,30,0,7,50,0,0,0,0,0,0,0,106,36,100,2,1,0,40,0,0,19,2,256,4,72,0,2,14,82,81,10,1111,81,0,1,94,15,54,81,80,0,0,0,0,5,5,39,5,10,10,15,5,10,0,3,3,10,5,15,5,260,0,71,40,999,34,3,-31,0,0,195
45,3,3,0,0,80,Chase,Daniel,150,144,3,50,2,17,78,0,7,26670,27,26670,72,27,0,0,90,0,0,0,25,0,0,72,0,33,5,89,20,15,19,0,8,42,0,2,0,0,0,0,0,122,0,100,2,2,0,40,0,0,10,2,144,3,76,0,15,85,43,65,5,0,67,0,1,90,17,63,72,60,1,1,0,0,5,5,39,5,5,10,15,10,10,0,0,0,10,5,15,5,150,0,72,65,686,0,0,-31,0,0,164
45,4,4,4,4,11,Isaac,Sopoaga,166,156,4,41.5,2.5,17,73,0,4,17426,15,17426,54,32,0,1,80,1,0,0,21,0,0,56,1,8,1015,86,84,27,35,0,3,20,0,0,0,0,0,0,0,76,45,100,0,0,2,0,0,0,90,1,156,4,75,0,4,14,99,51,10,627,34,0,1,92,15,93,88,82,0,0,0,0,10,10,4,15,15,10,20,15,15,0,12,12,10,15,30,10,166,0,74,170,999,3,3,-31,0,0,180
14,4,2,4,2,13,Arian,Foster,300,288,4,75,3,15,91,1,5,17295,32,17295,90,27,2,1,95,1,0,0,84,0,0,87,2,33,11,87,33,60,36,0,7,86,0,0,0,0,3,0,3,211,45,100,0,0,2,0,0,1,23,0,288,4,90,0,15,15,38,71,5,0,88,0,1,60,13,72,91,86,0,0,0,0,0,10,29,0,10,10,15,5,15,0,1,1,10,5,10,10,300,0,73,68,751,43,0,-31,1,0,90
45,1,1,1,1,15,Kedric,Golston,150,138,3,50,4,15,75,0,4,27449,26,27449,65,30,0,0,84,0,0,0,24,0,0,65,2,27,1015,80,76,31,41,0,3,22,0,0,0,0,0,0,0,70,45,100,0,0,0,15,0,0,64,2,138,3,68,0,6,17,83,63,8,1065,25,0,1,90,19,82,78,75,0,0,0,0,5,10,9,5,10,10,10,5,15,0,11,12,10,5,20,10,150,0,76,158,999,8,1,-31,0,0,76
45,4,4,4,4,14,Mike,Martin,99,84,3,33,5,13,78,0,7,26871,30,26871,72,23,0,0,82,0,0,0,33,0,0,73,2,19,15,86,70,28,43,0,3,24,0,0,0,6,6,6,6,117,45,100,0,4,0,0,0,0,93,2,84,3,78,0,3,12,69,68,2,0,29,0,1,90,17,86,75,58,0,0,0,0,10,15,24,10,20,10,15,10,20,0,12,12,15,10,35,15,99,0,73,146,999,0,0,-31,0,0,180
45,3,2,3,2,22,Kyle,Williams,80,70,2,40,5,17,71,0,7,27294,3,27294,64,30,0,0,92,0,0,0,29,0,0,66,0,1,1015,86,90,35,44,0,3,29,0,4,0,0,0,0,0,106,45,100,0,0,0,1,0,0,95,2,70,2,45,0,5,22,85,57,8,0,36,0,1,97,18,81,89,90,0,0,0,0,15,5,24,20,15,10,20,20,15,0,12,12,15,20,30,15,80,0,73,143,999,10,1,-31,1,0,159
45,2,2,2,2,14,Christian,Ballard,44,39,1,44,5,17,82,0,4,27115,31,27115,76,24,0,0,76,1,0,0,33,0,0,74,2,9,1009,82,70,28,41,0,12,22,0,0,0,7,7,7,7,89,45,100,1,1,4,45,0,0,99,2,39,1,0,0,4,14,10,69,3,0,41,0,1,95,16,80,73,56,0,0,0,0,10,10,39,10,15,10,15,10,15,0,12,12,10,10,30,10,44,0,76,123,999,14,1,-31,0,0,44
45,2,2,2,2,11,Anthony,Toribio,60,55,1,60,5,17,63,0,4,14820,9,14820,59,28,0,0,82,1,0,0,13,0,0,62,2,33,6,75,79,30,41,0,13,12,0,0,0,2,2,2,2,265,45,100,0,0,4,0,0,0,98,2,55,1,0,0,15,12,99,53,6,0,25,0,0,90,18,88,77,70,3,0,3,0,15,10,4,10,15,10,20,20,15,1,12,12,15,25,25,10,60,0,73,155,409,5,0,-31,0,0,211
