PRL2,PLHA,TLHA,PRHA,TRHA,PTHA,PFNA,PLNA,PTSA,PSTA,PFPB,PVSB,PKAC,PACC,PMPC,PHED,PGID,TGID,POID,PSPD,PAGE,PBRE,PEYE,PTGH,PCPH,PLSH,PRSH,PCTH,PLTH,PRTH,PAGI,PSKI,PDPI,PPTI,PINJ,PTAK,PPBK,PRBK,PNEK,PFMK,PBTK,PTAL,PHCL,PUCL,PLEL,TLEL,PREL,TREL,PCOL,PROL,PLPL,PGSL,PTSL,PCYL,PHLM,PSTM,PHAN,PICN,PJEN,PTEN,PCON,PSBO,PVCO,PEGO,PFHO,PDRO,PTHP,PIMP,PJMP,PYRP,PSXP,PCAR,PTAR,PJER,PMOR,PKPR,PSTR,POVR,PAWR,PLWR,TLWR,PRWR,TRWR,PFAS,PMAS,PSBS,PFCS,PMCS,PFGS,PCHS,PFHS,PMHS,PVIS,PPOS,POPS,PLSS,PFTS,PMTS,PUTS,PVTS,PMUS,PHGT,PWGT,PCMT,PKRT,PYWT,PLHY,PJTY,PSTY,PFEx
45,0,0,0,0,87,Rex,Grossman,700,90,0,385,18,60,0,7,16533,1,16533,59,27,0,0,81,1,0,0,15,0,0,59,0,22,1015,67,21,15,16,0,0,46,0,2,0,7,0,0,0,62,18,100,0,0,1,0,0,0,0,8,0,5,385,5,60,0,1,94,73,55,4,17,42,0,1,85,29,51,85,80,0,0,0,0,5,7,0,10,5,10,5,10,5,0,0,0,6,10,7,5,700,0,73,57,613,0,4,-31,0,0,242
45,0,0,0,0,80,Kyle,Orton,153,92,0,72,12,61,0,7,26675,1,26675,55,23,0,1,88,0,0,0,23,0,0,59,0,5,1015,89,18,14,11,0,6,55,0,2,0,0,0,0,0,169,45,100,0,0,2,0,0,0,0,18,0,4,72,4,85,0,4,87,48,60,2,38,50,0,1,89,12,54,75,74,2,3,0,0,5,7,0,10,5,10,5,10,5,0,0,0,6,10,7,5,153,0,75,66,800,0,2,-31,0,0,167
45,0,0,0,0,88,Brian,Griese,1310,90,0,245,36,55,0,7,365,1,365,54,32,0,0,80,2,0,0,37,0,0,56,0,30,1009,65,19,36,35,0,1,47,0,2,0,0,0,0,0,117,10,100,0,0,4,0,0,0,0,14,0,5,245,5,82,0,3,87,66,50,9,16,37,0,1,75,21,54,82,83,2,2,2,2,5,7,0,10,5,10,5,10,5,0,0,0,6,10,7,5,1310,0,75,55,196,0,1,-31,0,0,239
45,0,0,0,0,80,Jeff,Rowe,120,90,0,15,25,68,0,7,28084,2,28084,64,23,0,0,75,0,0,0,25,0,0,67,0,14,1015,91,15,25,25,0,1,60,0,2,0,0,0,0,0,143,45,100,0,0,3,0,0,0,0,3,2,3,15,3,72,0,5,83,32,50,0,0,64,0,1,90,20,67,67,53,1,2,2,2,5,7,0,10,5,10,5,10,5,0,0,0,6,10,7,5,120,0,77,66,999,0,0,-31,0,0,159
45,0,0,0,0,80,Doug,Johnson,80,78,0,8,35,45,0,7,16058,2,16058,47,28,0,0,59,1,0,0,28,0,0,51,0,63,1009,82,15,32,29,0,1,35,0,2,0,0,0,0,0,62,45,100,0,0,1,0,0,0,0,11,0,1,8,1,72,0,15,86,42,41,6,62,37,0,1,95,19,53,71,75,1,2,2,2,5,7,0,10,5,10,5,10,5,0,0,0,6,10,7,5,80,0,74,65,999,0,1,-31,0,0,164
6,0,0,0,0,96,Carson,Palmer,4000,93,1,1904,17,57,0,7,16522,2,16522,56,26,0,1,87,1,0,0,12,0,0,57,0,1,1015,80,13,11,10,0,0,58,0,2,0,0,0,0,0,231,20,100,0,0,3,2,0,0,0,9,0,7,1904,7,88,0,1,97,99,52,4,74,39,0,1,96,14,63,97,92,3,3,3,2,11,2,1,10,10,10,11,10,10,0,0,0,7,10,7,11,4000,0,77,75,548,0,4,-31,0,0,159
45,0,0,0,0,84,Craig,Nall,420,75,0,66,22,62,0,7,15988,3,15988,60,28,0,0,60,1,0,0,27,0,0,60,0,29,1009,88,12,12,12,0,1,59,0,4,0,0,0,0,0,154,45,100,2,3,2,0,45,0,0,16,0,3,66,3,68,0,5,89,63,50,5,111,34,0,1,95,33,58,77,68,1,1,0,0,5,7,0,10,5,10,5,10,5,0,0,0,6,10,7,5,420,0,75,70,999,0,1,-31,0,0,167
45,0,0,0,0,83,J.P.,Losman,660,90,0,195,21,72,0,7,17274,3,17274,70,26,0,0,90,1,0,0,30,0,0,70,0,22,1015,78,20,11,11,0,1,63,0,2,0,0,0,0,0,221,18,100,0,0,2,0,0,0,0,7,1,5,195,5,82,0,1,92,73,52,3,106,48,0,1,94,26,56,81,69,1,1,0,0,5,7,0,10,5,10,5,10,5,0,0,0,6,10,7,5,660,0,74,57,16,0,3,-31,0,0,167
45,0,0,0,0,82,Trent,Edwards,200,90,0,32,20,68,0,7,27940,3,27940,60,23,0,1,75,0,0,0,35,0,0,62,0,29,1015,70,30,20,20,0,0,45,0,2,0,0,0,0,0,200,45,100,0,0,4,2,40,0,0,5,2,4,32,4,0,0,3,87,48,65,0,97,58,0,1,90,20,61,71,60,2,2,1,1,11,2,1,10,10,10,11,10,10,0,0,0,7,10,7,11,200,0,76,71,843,0,0,-31,0,0,159
45,0,0,0,0,88,Jay,Cutler,2000,88,0,435,20,73,0,7,27257,4,27257,68,24,0,0,83,0,0,0,35,0,0,66,0,11,1015,95,30,26,19,0,0,64,0,2,0,0,0,0,0,238,18,100,2,2,4,2,62,0,0,6,1,5,435,5,70,0,1,95,75,69,1,138,63,0,1,80,25,62,86,71,1,1,0,0,5,7,0,10,5,10,5,10,5,0,0,0,6,10,7,5,2000,0,75,63,826,10,1,-31,0,0,150
45,0,0,0,0,81,Patrick,Ramsey,400,89,0,44,12,54,0,7,14849,4,14849,55,28,0,1,67,1,0,0,13,0,0,57,0,32,26,88,22,11,11,0,1,45,0,2,0,0,0,0,0,221,8,100,2,2,2,0,45,0,0,8,0,2,44,2,65,0,1,92,52,44,5,166,40,0,1,70,12,59,77,75,2,2,0,0,5,7,0,10,5,10,5,10,5,0,0,0,6,10,7,5,400,0,74,57,74,10,0,-31,0,0,166
45,3,3,0,0,86,Charlie,Frye,150,90,0,117,20,71,0,4,26670,5,26670,72,26,0,0,88,0,0,0,25,0,0,72,0,3,1015,92,24,15,12,0,8,65,0,1,0,0,0,0,0,2,0,100,2,2,1,0,40,0,0,9,1,3,117,3,76,0,3,85,70,54,2,188,67,0,1,90,22,55,81,70,1,1,0,0,5,7,0,10,5,10,5,10,5,0,0,0,6,10,7,5,150,0,75,67,686,0,2,-31,0,0,157
45,0,0,0,0,83,Derek,Anderson,98,90,0,39,14,52,0,7,26674,5,26674,48,24,0,0,95,0,0,0,15,0,0,51,0,39,1009,92,23,19,21,0,0,40,0,2,0,0,0,0,0,161,45,100,2,2,1,2,55,0,0,3,0,3,39,3,82,0,6,93,50,49,2,178,50,0,1,87,22,62,73,66,0,0,0,0,11,2,1,10,10,10,11,10,10,0,0,0,7,10,7,11,98,0,78,85,999,0,1,-31,0,0,155
12,0,0,0,0,87,Brady,Quinn,1500,92,0,110,15,66,0,7,27905,5,27905,62,22,0,1,85,0,0,0,35,0,0,66,0,22,1015,88,34,25,20,0,0,40,0,2,0,0,0,0,0,152,45,100,0,0,5,2,40,0,0,10,2,5,110,5,0,0,1,86,60,65,0,197,64,0,1,90,11,65,77,68,1,1,0,0,11,2,1,10,10,10,11,10,10,0,0,0,7,10,7,11,1500,0,76,72,931,0,0,-31,0,0,159
45,0,0,0,0,87,Jeff,Garcia,700,90,0,98,36,69,0,7,960,6,960,64,37,0,1,90,2,0,0,40,0,0,68,0,63,1009,55,27,18,27,0,8,44,0,1,0,0,0,0,0,185,10,100,1,1,2,0,40,0,0,7,2,2,98,2,80,0,15,82,73,49,8,232,56,0,1,95,15,46,82,84,3,1,3,2,2,7,0,10,3,10,6,10,3,0,0,0,4,10,7,3,700,0,73,35,169,0,1,-31,0,0,150
