PRL2,PLHA,TLHA,PRHA,TRHA,PTHA,PFNA,PLNA,PPOS,TGID,PTSA,PSTA,PFPB,PVSB,PKAC,PACC,PMPC,PHED,PGID,POID,PSPD,PAGE,PBRE,PEYE,PTGH,PCPH,PLSH,PRSH,PCTH,PLTH,PRTH,PAGI,PSKI,PDPI,PPTI,PINJ,PTAK,PPBK,PRBK,PNEK,PFMK,PBTK,PTAL,PHCL,PUCL,PLEL,TLEL,PREL,TREL,PCOL,PROL,PLPL,PGSL,PTSL,PCYL,PHLM,PSTM,PHAN,PICN,PJEN,PTEN,PCON,PSBO,PVCO,PEGO,PFHO,PDRO,PTHP,PIMP,PJMP,PYRP,PSXP,PCAR,PTAR,PJER,PMOR,PKPR,PSTR,POVR,PAWR,PLWR,TLWR,PRWR,TRWR,PFAS,PMAS,PSBS,PFCS,PMCS,PFGS,PCHS,PFHS,PMHS,PVIS,POPS,PLSS,PFTS,PMTS,PUTS,PVTS,PMUS,PHGT,PWGT,PCMT,PKRT,PYWT,PLHY,PJTY,PSTY,PFEx
45,0,0,0,0,87,Rex,Grossman,0,1,700,90,0,385,18,60,0,7,16533,16533,59,27,0,0,81,1,0,0,15,0,0,59,0,22,1015,67,21,15,16,0,0,46,0,2,0,7,0,0,0,62,18,100,0,0,1,0,0,0,0,8,0,5,385,5,60,0,1,94,73,55,4,17,42,0,1,85,29,51,85,80,0,0,0,0,5,7,0,10,5,10,5,10,5,0,0,6,10,7,5,700,0,73,57,613,0,4,-31,0,0,242
45,0,0,0,0,80,Kyle,Orton,0,1,153,92,0,72,12,61,0,7,26675,26675,55,23,0,1,88,0,0,0,23,0,0,59,0,5,1015,89,18,14,11,0,6,55,0,2,0,0,0,0,0,169,45,100,0,0,2,0,0,0,0,18,0,4,72,4,85,0,4,87,48,60,2,38,50,0,1,89,12,54,75,74,2,3,0,0,5,7,0,10,5,10,5,10,5,0,0,6,10,7,5,153,0,75,66,800,0,2,-31,0,0,167
45,0,0,0,0,88,Brian,Griese,0,1,1310,90,0,245,36,55,0,7,365,365,54,32,0,0,80,2,0,0,37,0,0,56,0,30,1009,65,19,36,35,0,1,47,0,2,0,0,0,0,0,117,10,100,0,0,4,0,0,0,0,14,0,5,245,5,82,0,3,87,66,50,9,16,37,0,1,75,21,54,82,83,2,2,2,2,5,7,0,10,5,10,5,10,5,0,0,6,10,7,5,1310,0,75,55,196,0,1,-31,0,0,239
45,0,0,0,0,80,Jeff,Rowe,0,2,120,90,0,15,25,68,0,7,28084,28084,64,23,0,0,75,0,0,0,25,0,0,67,0,14,1015,91,15,25,25,0,1,60,0,2,0,0,0,0,0,143,45,100,0,0,3,0,0,0,0,3,2,3,15,3,72,0,5,83,32,50,0,0,64,0,1,90,20,67,67,53,1,2,2,2,5,7,0,10,5,10,5,10,5,0,0,6,10,7,5,120,0,77,66,999,0,0,-31,0,0,159
45,0,0,0,0,80,Doug,Johnson,0,2,80,78,0,8,35,45,0,7,16058,16058,47,28,0,0,59,1,0,0,28,0,0,51,0,63,1009,82,15,32,29,0,1,35,0,2,0,0,0,0,0,62,45,100,0,0,1,0,0,0,0,11,0,1,8,1,72,0,15,86,42,41,6,62,37,0,1,95,19,53,71,75,1,2,2,2,5,7,0,10,5,10,5,10,5,0,0,6,10,7,5,80,0,74,65,999,0,1,-31,0,0,164
6,0,0,0,0,96,Carson,Palmer,0,2,4000,93,1,1904,17,57,0,7,16522,16522,56,26,0,1,87,1,0,0,12,0,0,57,0,1,1015,80,13,11,10,0,0,58,0,2,0,0,0,0,0,231,20,100,0,0,3,2,0,0,0,9,0,7,1904,7,88,0,1,97,99,52,4,74,39,0,1,96,14,63,97,92,3,3,3,2,11,2,1,10,10,10,11,10,10,0,0,7,10,7,11,4000,0,77,75,548,0,4,-31,0,0,159
45,0,0,0,0,84,Craig,Nall,0,3,420,75,0,66,22,62,0,7,15988,15988,60,28,0,0,60,1,0,0,27,0,0,60,0,29,1009,88,12,12,12,0,1,59,0,4,0,0,0,0,0,154,45,100,2,3,2,0,45,0,0,16,0,3,66,3,68,0,5,89,63,50,5,111,34,0,1,95,33,58,77,68,1,1,0,0,5,7,0,10,5,10,5,10,5,0,0,6,10,7,5,420,0,75,70,999,0,1,-31,0,0,167
45,0,0,0,0,83,J.P.,Losman,0,3,660,90,0,195,21,72,0,7,17274,17274,70,26,0,0,90,1,0,0,30,0,0,70,0,22,1015,78,20,11,11,0,1,63,0,2,0,0,0,0,0,221,18,100,0,0,2,0,0,0,0,7,1,5,195,5,82,0,1,92,73,52,3,106,48,0,1,94,26,56,81,69,1,1,0,0,5,7,0,10,5,10,5,10,5,0,0,6,10,7,5,660,0,74,57,16,0,3,-31,0,0,167
45,0,0,0,0,82,Trent,Edwards,0,3,200,90,0,32,20,68,0,7,27940,27940,60,23,0,1,75,0,0,0,35,0,0,62,0,29,1015,70,30,20,20,0,0,45,0,2,0,0,0,0,0,200,45,100,0,0,4,2,40,0,0,5,2,4,32,4,0,0,3,87,48,65,0,97,58,0,1,90,20,61,71,60,2,2,1,1,11,2,1,10,10,10,11,10,10,0,0,7,10,7,11,200,0,76,71,843,0,0,-31,0,0,159
45,0,0,0,0,88,Jay,Cutler,0,4,2000,88,0,435,20,73,0,7,27257,27257,68,24,0,0,83,0,0,0,35,0,0,66,0,11,1015,95,30,26,19,0,0,64,0,2,0,0,0,0,0,238,18,100,2,2,4,2,62,0,0,6,1,5,435,5,70,0,1,95,75,69,1,138,63,0,1,80,25,62,86,71,1,1,0,0,5,7,0,10,5,10,5,10,5,0,0,6,10,7,5,2000,0,75,63,826,10,1,-31,0,0,150
