PRL2,PLHA,TLHA,PRHA,TRHA,PTHA,PFNA,PLNA,PTSA,PSTA,PFPB,PVSB,PKAC,PACC,PMPC,PHED,PGID,TGID,POID,PSPD,PAGE,PBRE,PEYE,PTGH,PCPH,PLSH,PRSH,PCTH,PLTH,PRTH,PAGI,PSKI,PDPI,PPTI,PINJ,PTAK,PPBK,PRBK,PNEK,PFMK,PBTK,PTAL,PHCL,PUCL,PLEL,TLEL,PREL,TREL,PCOL,PROL,PLPL,PGSL,PTSL,PCYL,PHLM,PSTM,PHAN,PICN,PJEN,PTEN,PCON,PSBO,PVCO,PEGO,PFHO,PDRO,PTHP,PIMP,PJMP,PYRP,PSXP,PCAR,PTAR,PJER,PMOR,PKPR,PSTR,POVR,PAWR,PLWR,TLWR,PRWR,TRWR,PFAS,PMAS,PSBS,PFCS,PMCS,PFGS,PCHS,PFHS,PMHS,PVIS,PPOS,POPS,PLSS,PFTS,PMTS,PUTS,PVTS,PMUS,PHGT,PWGT,PCMT,PKRT,PYWT,PLHY,PJTY,PSTY,PFEx
45,2,2,2,2,13,Travis,Lewis,110,81,0,0,13,85,0,4,0,19,65402,84,25,0,1,83,0,0,0,47,0,0,86,2,16,13,82,79,33,35,1,0,27,0,0,0,0,0,0,0,157,45,0,0,0,1,2,60,0,0,50,0,1,14,0,0,0,7,20,99,76,2,0,43,0,0,75,20,73,67,54,0,0,0,0,5,10,49,5,15,25,15,5,15,1,14,14,20,0,10,10,0,0,74,67,1023,14,0,-30,0,0,428
45,4,4,4,4,20,Taylor,Mays,60,87,0,0,14,93,0,4,1,2,65403,93,25,0,1,71,1,0,0,60,0,0,87,2,17,1009,83,59,33,37,0,1,40,0,0,0,0,0,0,0,231,45,0,0,0,1,2,60,0,0,26,2,1,0,1,0,0,2,23,54,92,4,0,68,0,0,75,18,64,78,63,0,0,0,0,0,15,79,10,20,30,25,10,20,1,17,16,15,5,20,10,60,0,75,65,1023,39,0,-30,0,0,73
45,0,0,0,0,84,T.J.,Yates,49,84,0,0,15,76,0,4,2,32,65404,59,26,0,0,88,0,0,0,20,0,0,76,0,21,14,84,19,13,19,0,6,34,0,2,0,0,0,0,0,135,45,0,0,0,1,0,60,0,0,13,0,1,6,0,0,0,5,86,41,57,3,0,50,0,0,75,14,61,73,63,2,2,1,1,5,5,49,5,5,25,10,5,10,0,0,0,10,5,0,5,0,0,76,59,1023,0,0,-30,0,0,107
45,0,0,0,0,75,Dominique,Davis,102,73,0,0,11,84,0,2,3,14,65405,84,24,0,1,77,1,0,0,41,0,0,83,0,33,0,79,15,13,19,0,1,39,0,0,0,0,0,0,0,54,45,0,0,0,1,1,60,0,0,4,2,1,16,0,0,0,15,87,99,82,2,0,53,0,0,75,15,59,68,46,1,1,0,0,0,5,59,0,10,25,15,0,10,0,0,0,10,0,5,5,0,0,75,50,1023,0,0,-30,0,0,10
45,4,4,4,4,18,Terrance,Ganaway,269,82,0,0,15,85,0,5,4,24,65406,87,25,0,0,78,0,0,0,63,0,0,79,2,32,0,79,41,48,34,0,0,75,0,0,0,0,0,0,0,17,45,0,4,4,1,0,60,0,0,42,2,1,51,0,0,0,6,18,99,77,2,0,65,0,0,75,15,74,69,55,0,0,0,0,0,10,34,0,10,20,20,5,15,0,1,1,15,5,10,10,0,0,73,80,1023,36,0,-30,0,0,205
45,1,1,1,1,18,Mike,Pouncey,29,67,0,0,12,81,0,4,5,12,65407,63,24,0,0,78,0,0,0,30,0,0,68,2,3,1009,72,27,86,86,0,0,22,0,0,0,0,0,0,0,62,45,0,4,4,1,0,60,0,0,51,2,1,0,1,0,0,2,21,7,52,3,0,41,0,0,75,15,88,85,70,0,0,0,0,5,10,24,5,20,50,25,5,25,0,7,9,20,10,25,10,29,0,77,143,1023,5,0,-30,0,0,28
45,0,0,0,0,14,Josh,Baker,29,81,0,0,15,87,0,6,6,18,65408,80,27,0,0,82,0,0,0,70,0,0,80,0,33,0,87,30,49,52,0,0,60,0,2,0,0,0,0,0,265,45,0,0,0,0,0,60,0,0,45,2,0,0,0,0,0,15,16,50,68,3,0,76,0,0,75,18,76,71,51,0,0,0,0,5,10,44,0,5,15,20,10,10,0,4,4,10,5,15,5,0,0,75,84,1023,5,0,-30,0,0,299
45,0,0,0,0,20,David,Ausberry,30,80,0,0,17,78,0,10,7,23,65409,86,26,0,0,82,0,0,0,75,0,0,77,0,32,0,77,38,43,51,0,0,55,0,0,0,0,0,0,0,231,45,0,0,0,0,0,60,0,0,86,1,0,0,0,0,0,7,28,50,75,3,0,77,0,0,75,19,68,74,64,0,0,0,0,5,10,39,5,10,15,15,10,10,0,4,4,10,5,15,10,0,0,76,98,1023,29,0,-30,0,0,37
45,0,0,0,0,18,Garrett,Graham,29,82,0,0,17,78,0,7,8,32,65410,79,27,0,0,77,0,0,0,74,0,0,79,0,20,0,82,39,42,49,0,0,47,0,4,0,0,0,0,0,258,45,0,0,0,0,0,60,0,0,88,1,0,0,0,0,0,4,18,50,70,4,0,69,0,0,75,14,68,70,68,0,0,0,0,5,10,49,5,10,15,15,5,15,0,4,4,10,5,15,10,0,0,75,84,1023,18,0,-30,0,0,451
45,1,1,1,1,13,Cory,Brandon,29,75,0,0,13,62,0,5,9,1009,65411,61,26,0,0,78,0,1,1,14,0,0,58,0,33,0,76,15,79,77,0,0,14,0,0,0,2,2,0,0,157,45,0,0,0,0,0,60,0,0,60,2,0,0,0,0,0,15,19,51,55,3,0,18,0,0,75,14,85,67,58,2,2,2,2,5,10,29,5,10,15,20,5,15,0,9,4,10,5,30,10,0,0,79,164,1023,8,0,-30,0,0,191
45,0,0,0,0,16,John,Carlson,29,80,0,0,17,78,0,7,10,31,65412,76,29,0,0,79,0,0,0,77,0,0,77,0,7,0,84,38,47,56,0,0,46,0,4,0,0,0,0,0,152,45,0,0,0,0,0,60,0,0,89,2,0,0,0,0,0,2,20,50,77,6,0,82,0,0,75,13,73,77,70,0,0,0,0,0,10,54,0,5,15,20,0,10,0,4,4,10,0,10,10,0,0,77,88,1023,25,0,-30,0,0,41
45,0,0,0,0,14,Rhett,Ellison,29,78,0,0,14,80,0,4,11,31,65413,80,25,0,0,79,0,0,0,71,0,0,78,0,33,0,79,33,55,42,0,0,55,0,0,0,0,0,0,0,231,45,0,0,0,0,0,60,0,0,40,2,0,0,0,0,0,4,21,50,67,2,0,68,0,0,75,17,70,68,67,0,0,0,0,0,10,49,0,10,15,15,0,20,0,4,4,10,0,10,5,0,0,77,90,1023,15,0,-30,0,0,7
45,0,0,0,0,14,Dorin,Dickerson,29,75,0,0,14,88,0,4,12,1009,65414,89,25,0,0,77,0,0,0,69,0,0,83,0,20,0,82,59,53,56,0,0,50,0,0,0,0,0,0,0,166,45,0,0,0,0,0,60,0,0,42,2,0,0,0,0,0,7,17,55,90,4,0,70,0,0,75,14,68,73,50,0,0,0,0,0,10,54,5,15,15,15,5,10,0,4,4,10,0,15,5,0,0,73,66,1023,23,0,-30,0,0,78
45,0,0,0,0,13,Austin,Seferian-Jenk,29,73,0,0,13,75,0,7,13,6,65415,71,25,0,0,83,1,0,0,71,0,0,81,0,13,0,77,37,43,51,0,0,45,0,0,0,0,0,0,0,166,45,0,0,0,0,0,60,0,0,82,2,0,0,0,0,0,6,18,50,70,4,0,72,0,0,75,11,77,70,68,0,0,0,0,5,10,44,0,10,15,20,5,15,0,4,4,10,5,10,10,0,0,76,104,1023,22,0,-30,0,0,169
