PRL2,PLHA,TLHA,PRHA,TRHA,PTHA,PFNA,PLNA,PTSA,PSTA,PFPB,PVSB,PKAC,PACC,PMPC,PHED,PGID,TGID,POID,PSPD,PAGE,PBRE,PEYE,PTGH,PCPH,PLSH,PRSH,PCTH,PLTH,PRTH,PAGI,PSKI,PDPI,PPTI,PINJ,PTAK,PPBK,PRBK,PNEK,PFMK,PBTK,PTAL,PHCL,PUCL,PLEL,TLEL,PREL,TREL,PCOL,PROL,PLPL,PGSL,PTSL,PCYL,PHLM,PSTM,PHAN,PICN,PJEN,PTEN,PCON,PSBO,PVCO,PEGO,PFHO,PDRO,PTHP,PIMP,PJMP,PYRP,PSXP,PCAR,PTAR,PJER,PMOR,PKPR,PSTR,POVR,PAWR,PLWR,TLWR,PRWR,TRWR,PFAS,PMAS,PSBS,PFCS,PMCS,PFGS,PCHS,PFHS,PMHS,PVIS,PPOS,POPS,PLSS,PFTS,PMTS,PUTS,PVTS,PMUS,PHGT,PWGT,PCMT,PKRT,PYWT,PLHY,PJTY,PSTY,PFEx
45,0,0,0,0,59,QB,#14,123,59,0,0,28,54,0,7,12263,259,12263,54,23,0,0,65,0,0,0,31,0,0,55,0,63,1023,87,9,30,28,0,0,39,0,0,0,0,0,0,0,105,45,100,0,0,1,0,55,0,0,14,0,1,0,1,74,0,15,83,11,47,0,0,57,0,1,100,28,60,48,47,0,0,0,0,0,11,58,32,12,26,9,7,13,0,0,0,54,0,16,0,123,0,75,60,999,0,31,-31,2,0,150
45,0,0,0,0,50,New,Player,0,50,0,0,50,50,0,7,32755,1023,32755,50,21,0,0,50,0,0,0,50,0,0,50,2,63,1023,50,50,50,50,0,0,50,0,2,0,0,0,0,0,214,45,100,0,0,0,0,65,0,0,8,2,0,0,0,75,0,15,50,99,50,0,0,50,0,1,100,50,50,28,50,0,0,0,0,0,5,58,32,12,26,9,7,13,0,0,0,54,0,16,0,0,0,72,40,999,50,31,-31,0,0,204
45,0,0,0,0,76,QB,#10,380,56,0,15,27,57,0,5,12247,259,12247,62,27,0,0,72,1,0,0,16,0,0,63,2,63,1023,92,32,33,13,0,0,44,0,0,0,0,0,0,0,118,18,100,1,1,1,0,55,0,0,10,2,1,15,1,80,0,15,94,76,50,4,0,50,0,1,100,15,64,74,67,0,0,0,0,0,11,58,32,12,26,9,7,13,0,0,0,54,0,16,0,380,0,76,65,999,0,31,-31,2,0,187
45,0,0,0,0,74,Bruce,Eugene,40,68,0,4,16,63,0,5,15117,252,15117,55,26,0,0,58,0,0,0,26,0,0,57,2,63,1023,68,15,19,11,0,1,27,0,0,0,0,0,0,0,137,45,100,0,0,1,0,55,0,0,10,0,1,4,1,61,0,15,75,57,49,1,0,63,0,1,100,11,57,61,69,0,0,0,0,0,11,61,4,16,18,0,0,17,0,0,0,12,0,10,0,40,0,73,52,999,0,31,-31,2,0,210
45,0,0,0,0,76,Drew,Olson,30,82,0,5,15,55,0,7,15024,250,15024,58,25,0,0,62,0,0,0,10,0,0,58,0,63,1023,80,10,28,13,0,0,35,0,2,0,0,0,0,0,84,45,100,0,0,1,0,55,0,0,8,0,1,5,1,83,0,15,79,88,35,1,0,56,0,1,100,18,50,66,70,0,0,0,0,0,8,58,5,14,15,0,0,11,0,0,0,18,0,13,0,30,0,73,61,999,0,31,-31,0,0,151
45,0,0,0,0,78,Travis,Lulay,45,86,0,20,14,65,0,7,15093,252,15093,66,25,0,0,57,1,0,0,45,0,0,67,0,63,1023,75,22,25,23,0,1,44,0,2,0,0,0,0,0,105,18,100,0,2,1,0,55,0,0,7,2,1,20,1,65,0,15,90,95,52,3,0,65,0,1,100,24,57,76,70,0,0,0,0,0,8,58,5,14,15,0,0,11,0,0,0,18,0,13,0,45,0,74,65,999,0,31,-31,0,0,156
45,0,0,0,0,75,Erik,Meyer,30,85,0,5,23,55,0,7,15074,251,15074,54,28,0,0,58,1,0,0,28,0,0,52,0,63,1023,80,27,14,9,0,1,30,0,2,0,0,0,0,0,164,45,100,0,0,1,0,55,0,0,9,0,1,5,1,89,0,15,84,95,45,1,0,60,0,1,100,10,54,67,71,0,0,0,0,0,8,58,5,14,15,0,0,11,0,0,0,18,0,13,0,30,0,73,76,999,0,31,-31,0,0,151
45,0,0,0,0,83,Cody,Pickett,55,69,0,18,17,55,0,7,15179,254,15179,59,25,0,0,79,1,0,0,10,0,0,58,0,63,1023,90,20,10,10,0,1,34,0,2,0,0,0,0,0,111,45,100,0,0,1,0,55,0,0,3,0,1,18,1,54,0,15,86,92,41,4,0,70,0,1,100,22,50,75,72,0,4,0,4,0,11,58,32,12,26,9,7,13,0,0,0,54,0,16,0,55,0,75,28,999,0,31,-31,0,0,150
45,2,2,2,2,99,Mice,Pace,128,99,0,25,99,99,2,7,11437,239,11437,99,25,0,1,99,0,2,2,99,0,0,99,2,63,1023,99,99,99,99,0,11,99,0,0,0,3,3,3,3,265,20,100,1,1,1,4,126,0,0,11,1,1,25,1,60,0,15,99,63,99,1,1352,99,0,1,100,99,59,99,99,0,0,0,0,0,11,58,32,12,26,9,7,13,2,0,0,54,0,16,0,128,0,75,65,999,99,31,-31,0,0,190
45,2,2,2,2,99,Smokey,Mirrors,122,99,0,24,99,99,2,7,11436,239,11436,99,25,0,1,99,0,2,2,99,0,0,99,2,63,1023,99,99,99,99,0,11,99,0,0,0,3,3,3,3,265,20,100,1,1,1,4,126,0,0,12,1,1,24,1,60,0,15,99,63,99,1,1352,99,0,1,100,99,65,99,99,0,0,0,0,0,11,58,32,12,26,9,7,13,2,0,0,54,0,16,0,122,0,76,65,999,99,31,-31,0,0,190
