team,first_name,last_name,position,awareness,speed,acceleration,agility,strength,elusiveness,carrying,trucking,catching,jumping,throw_power,throw_accuracy_short,throw_accuracy_mid,throw_accuracy_deep,throw_on_the_run,playaction,pass_block,run_block,tackle,kick_power,kick_accuracy,kick_return,stamina,injury,run_block_power,run_block_finesse,pass_block_power,pass_block_finesse,break_tackle,toughness,handedness,jersey_number,height,weight,age,birthdate,years_pro,college,draft_round,draft_pick,contract_length,contract_years_left,total_salary,signing_bonus,role_one,role_two,pro_bowl,nfl_icon,hair_style,hair_color,skin_color,tattoo_left,tattoo_right,tendency,face_id,sleeves,left_hand,right_hand,left_wrist,right_wrist,left_elbow,right_elbow,left_knee,right_knee,left_shoe,right_shoe,neck_pad,mouthpiece,breathing_strip,eye_black,helmet,face_mask,visor
49ers,Max,McCaffrey,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Right,1,74,200,24,5/17/1994,2,Duke,15,63,3,3,1785000,0,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,C.J.,Beathard,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Right,3,74,217,25,11/16/1993,1,Iowa,3,40,4,3,3528646,706288,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Nick,Mullens,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Right,4,73,210,24,3/21/1995,1,Southern Mississippi,15,63,2,2,1050000,0,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Robbie,Gould,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Right,9,72,190,36,12/6/1982,13,Penn State,15,63,1,2,4971000,0,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Jimmy,Garoppolo,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Right,10,74,225,27,11/2/1991,4,Eastern Illinois,2,30,5,5,137500000,48700000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Marquise,Goodwin,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Right,11,69,180,28,11/19/1990,5,Texas,3,14,4,4,18850000,6450000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Richie,James,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Right,13,69,182,23,9/5/1995,0,Middle Tennessee State,7,48,4,4,2536572,76572,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Dante,Pettis,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Right,18,73,194,23,10/23/1995,0,Washington,2,12,4,4,6400562,3985887,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Steven,Dunbar,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Right,19,75,202,23,12/19/1995,0,Houston,15,63,2,2,975000,0,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Jimmie,Ward,FS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Right,20,71,193,27,7/18/1991,4,Northern Illinois,1,30,1,2,4500000,3000000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
