first_name,last_name,weight,age,experience,height,college,team,position,jersey_number
Josh,Woodrum,236,24,0,6-2,Liberty,Buffalo Bills,QB,
Jonathan,Williams,223,23,0,5-11,Arkansas,Buffalo Bills,RB,31
Robert,Woods,190,24,4,6-0,USC,Buffalo Bills,WR,10
Jerel,Worthy,308,26,3,6-2,Michigan State,Buffalo Bills,DT,94
Corey,White,210,26,5,6-1,Samford,Buffalo Bills,DB,30
Eric,Wood,310,30,8,6-4,Louisville,Buffalo Bills,C,70
Lorenzo,Alexander,245,33,10,6-1,California,Buffalo Bills,LB,57
Aaron,Williams,199,26,5,6-0,Texas,Buffalo Bills,DB,23
Kyle,Williams,303,33,11,6-1,LSU,Buffalo Bills,DT,95
Sammy,Watkins,211,23,3,6-1,Clemson,Buffalo Bills,WR,14
Phillip,Thomas,223,27,3,6-0,Fresno State,Buffalo Bills,DB,
Logan,Thomas,250,25,2,6-6,Virginia Tech,Buffalo Bills,QB,82
Adolphus,Washington,295,22,0,6-4,Ohio State,Buffalo Bills,DT,92
Tyrod,Taylor,215,27,6,6-1,Virginia Tech,Buffalo Bills,QB,5
Brandon,Tate,195,29,8,6-1,North Carolina,Buffalo Bills,WR,15
Max,Valles,250,22,1,6-4,Virginia,Buffalo Bills,OLB,
Kevon,Seymour,185,23,0,6-0,USC,Buffalo Bills,CB,29
Brandon,Spikes,255,29,5,6-2,Florida,Buffalo Bills,LB,
Garrison,Sanborn,240,31,8,6-1,Florida State,Buffalo Bills,C,65
Nickell,Robey-Coleman,165,25,4,5-8,USC,Buffalo Bills,DB,21
Marcus,Roberson,191,24,3,6-0,Florida,Buffalo Bills,DB,
Colton,Schmidt,224,26,3,5-11,California-Davis,Buffalo Bills,P,6
Walt,Powell,189,25,2,6-0,Murray State,Buffalo Bills,WR,19
Reggie,Ragland,252,23,0,6-2,Alabama,Buffalo Bills,ILB,59
Michael,Ola,312,28,3,6-5,Hampton,Buffalo Bills,OT,74
Joe,Powell,205,22,0,6-2,Globe Tech NY (J.C.),Buffalo Bills,DB,
Nick,O'Leary,252,24,1,6-3,Florida State,Buffalo Bills,TE,
Cedric,O'Neal,215,23,0,5-10,Valdosta State,Buffalo Bills,RB,
Jonathan,Meeks,209,27,4,6-0,Clemson,Buffalo Bills,DB,36
John,Miller,303,23,2,6-2,Louisville,Buffalo Bills,OG,76
Jordan,Mills,316,26,4,6-5,Louisiana Tech,Buffalo Bills,T,79
Lerentee,McCray,249,26,4,6-3,Florida,Buffalo Bills,LB,56
EJ,Manuel,237,26,4,6-4,Florida State,Buffalo Bills,QB,3
LeSean,McCoy,208,28,8,5-11,Pittsburgh,Buffalo Bills,RB,25
