team,first_name,last_name,position,awareness,speed,acceleration,agility,strength,elusiveness,carrying,trucking,catching,jumping,throw_power,throw_accuracy_short,throw_accuracy_mid,throw_accuracy_deep,throw_on_the_run,playaction,pass_block,run_block,tackle,kick_power,kick_accuracy,kick_return,stamina,injury,run_block_power,run_block_finesse,pass_block_power,pass_block_finesse,break_tackle,toughness,handedness,jersey_number,height,weight,age,birthdate,years_pro,college,draft_round,draft_pick,contract_length,contract_years_left,total_salary,signing_bonus,role_one,role_two,pro_bowl,nfl_icon,hair_style,hair_color,skin_color,tattoo_left,tattoo_right,tendency,face_id,sleeves,left_hand,right_hand,left_wrist,right_wrist,left_elbow,right_elbow,left_knee,right_knee,left_shoe,right_shoe,neck_pad,mouthpiece,breathing_strip,eye_black,helmet,face_mask,visor
Texans,Jordan,Akins,TE,58,75,81,73,74,64,72,70,79,84,45,36,27,22,30,15,53,54,28,18,12,56,86,82,55,53,55,52,69,80,Right,88,75,250,26,4/19/1992,0,Central Florida,3,34,4,4,3323516,761516,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Texans,Jay,Prosch,FB,74,80,84,69,85,47,77,75,61,79,35,20,15,10,10,10,66,62,55,19,19,45,85,95,55,52,46,42,32,92,Right,45,73,255,25,8/21/1992,4,Auburn,6,51,4,3,5750000,2690000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Texans,MyCole,Pruitt,TE,61,86,88,77,69,59,72,62,80,88,35,15,10,6,10,6,65,53,40,30,30,40,78,84,52,46,64,58,60,65,Right,85,74,259,26,3/24/1992,3,Southern Illinois,5,15,2,1,1320000,0,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Texans,Brian,Peters,MLB,63,84,88,84,67,27,54,51,64,81,25,6,6,6,6,22,45,45,74,15,19,13,88,90,45,45,45,45,-1,78,Right,52,76,239,29,10/31/1988,6,Northwestern (Ia),15,63,1,1,900000,135000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Texans,Stephen,Morris,QB,53,84,88,83,56,65,63,44,52,76,90,73,71,69,76,70,25,23,36,25,20,25,93,85,15,18,17,17,68,82,Right,6,74,219,25,8/27/1992,4,Miami (Fla.),15,63,1,1,555000,0,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Texans,Lamar,Miller,HB,84,91,91,94,68,84,89,72,70,89,35,35,25,15,15,15,53,35,40,19,15,74,90,87,23,19,35,31,86,75,Right,26,70,220,27,4/25/1991,6,Miami (Fla.),4,1,4,2,26000000,14000000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Texans,Braxton,Miller,WR,71,91,92,94,68,88,69,46,82,88,83,77,71,68,79,70,44,46,39,23,22,72,91,85,28,21,11,11,85,79,Right,13,73,205,25,11/30/1992,2,Ohio State,3,21,4,2,3114104,709104,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Texans,Whitney,Mercilus,LOLB,84,82,89,74,75,25,49,35,45,83,20,6,6,6,6,6,45,45,87,25,15,10,86,95,45,45,45,45,10,72,Right,59,76,265,28,7/21/1990,6,Illinois,1,26,5,2,26000000,10681012,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Texans,Corey,Moore,FS,83,87,88,80,71,49,51,41,60,83,27,6,6,6,6,6,35,35,64,28,24,38,88,89,35,35,35,35,34,86,Right,43,74,200,25,1/28/1993,3,Georgia,15,63,1,1,630000,0,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Texans,Benardrick,McKinney,MLB,83,84,88,80,69,25,54,50,52,90,25,6,6,6,6,6,45,45,87,20,20,10,84,94,45,45,45,45,10,78,Right,55,76,260,25,11/19/1992,3,Mississippi State,2,11,6,6,50000000,16163880,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
